STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TMAX,TMIN,WDMV
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/1/1963,0,,65,33,42.9
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/2/1963,0,,64,35,39.1
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/3/1963,0,,63,34,24.9
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/4/1963,0,,68,39,8.7
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/5/1963,0.2,,66,40,80.8
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/6/1963,0.09,,61,47,83.3
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/7/1963,0,,53,44,88.9
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/8/1963,0,,56,34,37.3
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/9/1963,0,,68,37,39.8
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/10/1963,0,,69,42,83.3
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/11/1963,0,,76,61,113.1
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/12/1963,1.03,,70,43,82
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/13/1963,0,,44,24,197
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/14/1963,0,,31,23,126.8
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/15/1963,0,,37,26,49.1
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/16/1963,0,,48,29,60.9
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/17/1963,0.1,,56,35,55.3
USC00165620,"LSU BEN HUR FARM, LA US",30.3644,-91.1672,6.4,1/18/1963,1.13,,59,45,80.2
