"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WDMV"
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-01","0.00","0.0","99","75",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-02","0.00","0.0","97","75",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-03","0.00","0.0","99","75",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-04","0.00","0.0","101","73",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-05","0.00","0.0","99","74",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-06","0.00","0.0","102","74",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-07","0.00","0.0","101","75",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-08","0.00","0.0","99","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-09","0.00","0.0","103","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-10","0.00","0.0","103","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-11","0.00","0.0","106","73",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-12","0.00","0.0","106","74",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-13","0.00","0.0","102","74",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-14","0.00","0.0","104","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-15","0.00","0.0","104","77",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-16","0.00","0.0","102","78",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-17","0.00","0.0","104","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-18","0.00","0.0","101","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-19","0.00","0.0","102","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-20","0.00","0.0","105","74",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-21","0.00","0.0","103","74",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-22","0.00","0.0","103","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-23","0.00","0.0","104","75",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-24","0.00","0.0","104","75",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-25","0.00","0.0","104","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-26","0.00","0.0","105","77",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-27","0.00","0.0","105","77",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-28","0.00","0.0","104","74",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-29","0.00","0.0","107","75",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-30","0.00","0.0","105","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-07-31","0.00","0.0","103","77",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-08-01","0.00","0.0","103","76",
"USC00413060","FALCON DAM, TX US","26.558","-99.1372","97.5","1962-08-02","0.00","0.0","103","77",
