"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WDMV"
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-01","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-02","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-03","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-04","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-05","0.66",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-06","0.75",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-07","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-08","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-09","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-10","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-11","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-12","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-13","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-14","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-15","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-16","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-17","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-18","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-19","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-20","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-21","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-22","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-23","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-24","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-25","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-26","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-27","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-28","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-29","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-30","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-07-31","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-08-02","1.40",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-08-03","1.30",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-08-11","0.30",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-01","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-02","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-03","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-04","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-05","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-06","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-07","0.00",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-08","0.15",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-09","0.12",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-10","0.67",,,,
"USC00417622","RIO GRANDE CITY, TX US","26.3769","-98.8116","52.4","1892-09-11","0.77",,,,
