"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WDMV"
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-01","0.00","0.0","77","51",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-02","0.00","0.0","73","53",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-03","0.00","0.0","73","50",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-04","0.00","0.0","70","49",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-05","0.00","0.0","74","42",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-06","0.00","0.0","76","42",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-07","0.00","0.0","76","43",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-08","0.00","0.0","74","45",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-09","0.00","0.0","79","48",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-10","0.00","0.0","76","57",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-11","0.11","0.0","78","51",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-12","0.26","0.0","53","46",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-13","0.00","0.0","63","48",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-14","0.00","0.0","66","50",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-15","0.00","0.0","73","58",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-16","0.00","0.0","77","64",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-17","0.00","0.0","81","62",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-18","0.00","0.0","81","50",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-19","0.00","0.0","88","52",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-20","0.00","0.0","85","63",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-21","0.00","0.0","81","66",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-22","0.00","0.0","83","68",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-23","0.00","0.0","80","69",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-24","0.00","0.0","83","50",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-25","0.00","0.0","82","55",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-26","0.01","0.0","74","64",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-27","0.22","0.0","73","57",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-28","0.00","0.0","79","53",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-29","0.00","0.0","86","55",
"USC00418059","SANTA ROSA 3 WNW, TX US","26.2655","-97.8713","15.2","1987-03-30","0.00","0.0","57","38",
