,TMAX,TMAX,TMAX,TMAX,WDMV,WDMV,WDMV,WDMV,TMIN,TMIN,TMIN,TMIN,PRCP,PRCP,PRCP,PRCP,SNOW,SNOW,SNOW,SNOW
State,FL,HI,LA,TX,FL,HI,LA,TX,FL,HI,LA,TX,FL,HI,LA,TX,FL,HI,LA,TX
Year,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,8.73,,,,0.0
1893,,,96.0,,,,,,,,24.0,,,,33.949999999999996,17.369999999999997,,,0.0,0.0
1894,,,97.0,,,,,,,,,,,,50.04000000000001,0.39,,,0.0,0.0
1895,,,101.0,,,,,,,,22.0,,,,52.66000000000001,,,,0.0,
1896,,,100.0,,,,,,,,26.0,,,,41.24999999999999,,,,0.0,
1897,,,100.0,101.0,,,,,,,19.0,23.0,,,45.089999999999996,0.0,,,0.0,0.0
1898,,,99.0,,,,,,,,22.0,,,,67.41000000000003,,,,0.0,
1899,,,97.5,,,,,,,,12.0,,,,48.07,,,,6.0,
1900,,,98.0,107.0,,,,,,,18.0,24.0,,,78.295,12.61,,,0.0,0.0
1901,,,103.5,103.0,,,,,,,19.0,26.0,,,47.88500000000003,11.309999999999999,,,0.05,0.0
1902,,,99.0,109.0,,,,,,,26.0,32.0,,,49.80999999999999,5.28,,,0.0,0.0
1903,,,95.0,107.0,,,,,,,23.5,26.0,,,54.27999999999999,22.85,,,0.0,0.0
1904,,,97.0,107.0,,,,,,,22.5,24.0,,,38.28499999999999,28.579999999999995,,,0.0,0.0
1905,,,95.5,107.0,,,,,,,17.0,16.0,,,76.21000000000004,20.980000000000008,,,0.0,0.0
1906,,,99.5,109.0,,,,,,,26.5,25.0,,,47.915000000000006,6.74,,,0.0,3.0
1907,,,97.0,,,,,,,,28.5,,,,63.68500000000001,,,,0.0,
1908,,,94.5,,,,,,,,26.5,,,,60.040000000000006,,,,0.0,
1909,,,99.5,,,,,,,,25.5,,,,54.68000000000001,,,,0.0,
1910,,,98.0,,,,,,,,22.0,,,,54.90499999999998,,,,0.0,
1911,,,99.5,,,,,,,,18.5,,,,67.18000000000002,,,,0.0,
1912,,,98.5,,,,,,,,24.0,,,,63.184999999999974,1.2,,,0.0,0.0
1913,,,96.0,,,,,,,,28.0,,,,61.44000000000002,17.400000000000002,,,0.0,0.0
1914,,,100.0,,,,,,,,24.0,,,,64.16999999999997,27.6,,,1.0,0.0
1915,,,102.5,,,,,,,,22.5,,,,49.814999999999976,15.699999999999998,,,0.0,0.0
1916,,,98.0,,,,,,,,23.5,,,,46.01000000000001,17.099999999999998,,,0.0,0.0
1917,,,98.5,,,,,,,,16.0,,,,40.56000000000001,10.3,,,0.0,0.0
1918,98.0,,100.5,,,,,,58.0,,12.0,,29.42,,61.060000000000024,13.499999999999998,0.0,,0.0,0.0
1919,95.0,,99.5,,,,,,32.0,,19.5,,46.37999999999999,,60.64999999999998,20.799999999999997,0.0,,0.1,0.0
1920,96.0,,98.0,,,,,,25.0,,27.0,,50.93,,70.915,11.700000000000003,0.0,,0.0,0.0
1921,85.0,,101.5,,,,,,32.0,,31.0,,11.24,,49.734999999999985,2.4,0.0,,0.0,0.0
1922,96.0,,96.5,,,,,,31.0,,28.5,,60.72000000000001,,67.455,23.240000000000002,0.0,,0.0,0.0
1923,96.0,,94.5,,,,,,33.0,,27.5,,52.89,,73.30499999999998,15.03,0.0,,0.0,0.5
1924,95.0,,99.5,,,,,,31.0,,17.0,,60.51999999999999,,41.815,14.399999999999999,0.0,,0.0,0.0
1925,95.0,,100.5,,,,,,32.0,,22.5,,46.06000000000002,,52.024999999999984,20.270000000000007,0.0,,0.0,0.0
1926,96.0,,97.5,,,,,,31.0,,28.5,,44.379999999999995,,68.42000000000003,14.79,0.0,,0.0,0.0
1927,101.0,,99.5,,,,,,28.0,,23.5,,44.92999999999999,,60.429999999999986,13.639999999999999,0.0,,0.0,0.0
1928,98.0,,97.0,106.0,,,,,25.0,,18.5,27.0,52.62000000000001,,57.124999999999986,15.739999999999998,0.0,,0.0,0.0
1929,98.0,,97.5,104.0,,,,,31.0,,21.5,26.0,46.24000000000001,,75.89000000000004,15.169999999999995,0.0,,0.0,0.0
1930,89.0,,102.5,105.0,,,,,66.0,,19.5,19.0,0.0,,62.84499999999998,23.64999999999999,0.0,,0.0,0.0
1931,99.0,,98.5,104.0,,,,,30.0,,29.5,28.0,35.300000000000004,,57.69000000000002,22.459999999999997,0.0,,0.0,0.0
1932,103.0,,100.0,108.0,,,,,31.0,,24.5,23.0,54.969999999999985,,64.63000000000001,19.129999999999992,0.0,,0.0,0.0
1933,97.0,,98.5,104.0,,,,,34.0,,19.0,21.0,41.45,,56.91499999999999,20.980000000000008,0.0,,0.0,0.0
1934,95.0,,99.0,107.0,,,,,23.0,,20.5,29.0,48.20000000000001,,56.58500000000003,15.679999999999994,0.0,,0.0,0.0
1935,98.0,,99.5,103.0,,,,,27.0,,20.0,20.0,40.87000000000001,,49.74500000000001,15.889999999999995,0.0,,1.25,0.0
1936,96.0,,97.5,109.0,,,,,32.0,,23.0,28.0,57.250000000000014,,58.05999999999998,18.499999999999993,0.0,,0.0,0.0
1937,95.0,,96.5,112.0,,,,,35.0,,24.0,34.0,60.32999999999999,,51.54999999999997,13.139999999999999,0.0,,0.0,0.0
1938,97.0,,97.5,103.0,,,,,34.0,,23.0,30.0,33.78,,60.88499999999997,14.989999999999997,0.0,,0.0,0.0
1939,95.0,,99.0,110.0,,,,,33.0,,29.0,30.0,49.74,,51.24500000000003,14.089999999999996,0.0,,0.0,0.0
1940,98.0,,96.0,107.0,,,,,23.0,,16.0,24.0,58.50000000000003,,91.91000000000004,13.619999999999992,0.0,,0.1,0.0
1941,95.0,,97.0,105.0,,,,,30.0,,24.0,33.0,61.64000000000001,,72.44,30.160000000000007,0.0,,0.0,0.0
1942,100.0,,96.0,111.0,,,,,35.0,,21.0,26.0,44.739999999999995,,77.19000000000001,13.469999999999999,0.0,,0.0,0.0
1943,96.0,,100.0,112.0,,,,,29.0,,23.0,30.0,39.54,,68.94999999999999,13.139999999999997,0.0,,0.0,0.0
1944,98.0,,99.0,108.0,,,,,30.0,,26.5,32.0,42.700000000000024,,64.705,16.759999999999994,0.0,,0.0,0.0
1945,99.0,,98.0,89.0,,,,,32.0,,24.0,28.0,45.48000000000001,,64.07500000000003,0.29000000000000004,0.0,,0.0,0.0
1946,95.0,,95.5,112.0,,,,,38.0,,26.5,30.0,39.9,,75.72500000000001,14.319999999999997,0.0,,0.0,0.0
1947,94.0,,98.5,115.0,,,,,28.0,,24.5,30.0,65.46000000000002,,64.41500000000002,16.719999999999995,0.0,,0.0,0.0
1948,96.0,,99.5,112.0,,,,,32.0,,14.5,27.0,50.25000000000002,,62.23999999999999,26.03,0.0,,0.75,0.0
1949,95.0,86.0,96.5,99.0,316.3,,,,31.0,56.0,22.0,17.0,47.87000000000002,34.19,71.6,4.09,0.0,0.0,0.75,0.0
1950,98.0,93.0,96.0,108.0,241.1,,,,31.0,60.0,18.5,25.0,40.11999999999998,139.15000000000018,62.694999999999965,2.66,0.0,0.0,0.0,0.0
1951,98.0,92.0,101.0,108.0,215.0,,,,30.0,56.0,13.0,15.0,47.579999999999984,150.0100000000001,51.535000000000025,19.03,0.0,0.0,0.0,0.0
1952,97.0,88.0,96.5,106.0,223.1,,,,34.0,59.0,23.5,31.0,60.32000000000002,120.64999999999996,57.51499999999998,8.55,0.0,0.0,0.0,0.0
1953,98.0,86.0,97.0,109.0,201.9,,,,36.0,57.0,27.5,26.0,58.43000000000001,89.67999999999995,68.43499999999999,17.420000000000005,0.0,0.0,0.0,0.0
1954,95.0,87.0,99.5,110.0,183.3,,,,33.0,56.0,25.5,31.0,61.08000000000003,162.32999999999998,48.650000000000034,21.079999999999995,0.0,0.0,0.0,0.0
1955,95.0,86.0,95.5,112.0,159.1,,,,34.0,56.0,24.0,24.0,44.58,123.45000000000009,60.88999999999999,11.720000000000002,0.0,0.0,0.0,0.0
