"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WDMV"
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-01",,"0.0","56","33",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-02",,"0.0","66","38",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-03",,"0.0","65","38",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-04",,"0.0","68","38",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-05",,"0.0","68","39",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-06",,"0.0","58","31",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-07","0.00","0.0","66","38",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-08",,"0.0","48","24",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-09",,"0.0","64","33",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-10",,"0.0","60","34",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-11",,"0.0","70","38",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-12","0.02","0.0","71","30",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-13",,"0.0","58","33",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-14",,"0.0","68","38",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-15","0.28","0.0","48","32",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-16",,"0.0","48","35",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-17",,"0.0","63","40",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-18","2.80","0.0","68","35",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-19",,"0.0","43","26",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-20",,"0.0","50","25",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-21",,"0.0","57","30",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-22",,"0.0","63","35",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-23",,"0.0","63","35",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-24",,"0.0","68","35",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-25",,"0.0","70","38",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-26",,"0.0","73","45",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-27","0.30","0.0","65","55",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-28",,"0.0","75","51",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-29",,"0.0","73","50",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-30",,"0.0","75","51",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-01-31",,"0.0","78","50",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-01",,"0.0","77","50",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-02",,"0.0","79","50",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-03","0.00","0.0","78","50",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-04",,"0.0","64","48",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-05",,"0.0","75","49",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-06",,"0.0","78","50",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-07",,"0.0","74","40",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-08",,"0.0","58","41",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-09","2.02","0.0","77","41",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-10",,"0.0","79","56",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-11",,"0.0","57","47",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-12",,"0.0","57","45",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-13",,"0.0","70","48",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-14","0.04","0.0","78","51",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-15",,"0.0","82","55",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-16",,"0.0","79","53",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-17","0.05","0.0","68","44",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-18",,"0.0","66","40",
"USC00164407","HOUMA, LA US","29.6407","-90.816","2.4","1893-02-19",,"0.0","70","42",
