"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WDMV"
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-08-25","0.00","0.0","99","77",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-08-26","0.00","0.0","98","79",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-08-27","0.00","0.0","99","78",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-08-28","0.23","0.0","97","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-08-29","0.00","0.0","98","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-08-30","0.00","0.0","99","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-08-31","0.00","0.0","100","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-01","0.00","0.0","98","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-02","0.00","0.0","99","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-03","0.00","0.0","99","77",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-04","0.00","0.0","99","77",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-05","0.00","0.0","98","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-06","0.00","0.0","98","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-07","0.00","0.0","98","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-08","0.00","0.0","97","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-09","0.00","0.0","96","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-10","1.22","0.0","84","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-11","0.00","0.0","90","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-12","0.00","0.0","93","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-13","0.00","0.0","95","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-14","0.00","0.0","97","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-15","0.00","0.0","97","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-16","0.00","0.0","97","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-17","0.00","0.0","96","77",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-18","0.57","0.0","92","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-19","0.24","0.0","90","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-20","0.00","0.0","90","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-21","0.00","0.0","92","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-22","0.00","0.0","98","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-23","0.10","0.0","87","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-24","0.00","0.0","94","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-25","0.00","0.0","97","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-26","0.17","0.0","92","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-27","0.00","0.0","93","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-28","0.00","0.0","94","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-29","0.00","0.0","92","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-09-30","0.02","0.0","94","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-01","0.17","0.0","93","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-02","0.02","0.0","94","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-03","0.05","0.0","89","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-04","0.02","0.0","93","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-05","0.15","0.0","95","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-06","0.00","0.0","93","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-07","0.00","0.0","96","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-08","0.00","0.0","93","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-09","0.00","0.0","95","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-10","0.10","0.0","95","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-11","0.09","0.0","91","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-12","0.00","0.0","92","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-13","0.00","0.0","94","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-14","0.00","0.0","94","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-15","0.00","0.0","94","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-16","0.26","0.0","84","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-17","0.00","0.0","81","64",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-18","0.04","0.0","90","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-19","0.00","0.0","90","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-20","0.00","0.0","90","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-21","0.00","0.0","93","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-22","0.00","0.0","89","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-23","0.30","0.0","92","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-24","0.00","0.0","90","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-25","0.00","0.0","88","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-26","0.00","0.0","94","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-27","0.00","0.0","94","68",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-28","0.00","0.0","83","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-29","0.00","0.0","86","62",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-30","0.00","0.0","92","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-31","0.16","0.0","84","59",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-01","0.00","0.0","78","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-02","0.00","0.0","85","52",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-03","0.00","0.0","90","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-04","0.00","0.0","83","63",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-05","0.00","0.0","81","63",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-06","0.00","0.0","79","44",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-07","0.00","0.0","77","45",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-08","0.00","0.0","79","43",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-09","0.00","0.0","82","41",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-10","0.00","0.0","85","48",
