"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WDMV"
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-01","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-02","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-03","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-04","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-05","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-06","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-07","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-08","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-09","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-10","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-11","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-12","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-13","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-14","0.00",,,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-15","0.00","0.0","56",,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-16","0.00","0.0",,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-17","0.00","0.0",,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-18","0.04","0.0","70","64",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-19","0.00","0.0",,"54",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-20","0.00","0.0",,"60",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-21","0.00","0.0",,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-22","0.00","0.0",,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-23","0.00","0.0",,"56",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-24","0.00","0.0",,"33",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-25","0.00","0.0",,"30",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-26","0.00","0.0",,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-27","0.00","0.0",,"53",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-02-28","0.00","0.0",,,
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-01","0.00","0.0","73","43",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-02","0.00","0.0","77","54",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-03","0.00","0.0","88","61",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-04","0.00","0.0","85","45",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-05","0.00","0.0","84","44",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-06","0.00","0.0","84","57",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-07","0.00","0.0","76","44",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-08","0.00","0.0","74","41",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-09","0.00","0.0","78","53",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-10","0.00","0.0",,"62",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-11","0.17","0.0","74","57",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-12","0.00","0.0","60","49",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-13","0.00","0.0","63","43",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-14","0.00","0.0","75","40",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-15","0.00","0.0","79","46",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-16","0.00","0.0","75","52",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-17","0.00","0.0","73","55",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-18","0.00","0.0","76","59",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-19","0.00","0.0","79","53",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-20","0.74","0.0","53","40",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-21","0.02","0.0","55","42",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-22","0.00","0.0","61","42",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-23","0.00","0.0","71","41",
"USC00419588","WESLACO, TX US","26.178","-97.9708","22.9","1914-03-24","0.09","0.0","71",,
