State,FL,FL,FL,HI,HI,HI,LA,LA,LA,TX,TX,TX
Data Item,PRIndex,Value,Weight,PRIndex,Value,Weight,PRIndex,Value,Weight,PRIndex,Value,Weight
Year,,,,,,,,,,,,
1909,,,,,,,,,4229000.0,,,160000.0
1910,,,,,,,,,5046000.0,,,176000.0
1911,,,,,,,,,5887000.0,,,123000.0
1912,,,,,,,,,2163000.0,,,129000.0
1913,,,,,,,,,4214000.0,,,112000.0
1914,,,,,,,,,3199000.0,,,57000.0
1915,,,,,,,,,2018000.0,,,16000.0
1916,,,,,,,,,4072000.0,,,99000.0
1917,,,,,,,,,3813000.0,,,32000.0
1918,,,,,,,,,4170000.0,,,50000.0
1919,,,,,,,,,1883000.0,,,16000.0
1920,,,,,,,,,2493000.0,,,100000.0
1921,,,,,,,,,4181000.0,,,47000.0
1922,,,,,,,,,3778000.0,,,9000.0
1923,,,,,,,,,2387000.0,,,40000.0
1924,,,,,,,,,1228000.0,,,
1925,,,,,,,,,2644000.0,,,
1926,,,,,,,,,864000.0,,,
1927,,,,,,,,,962000.0,,,
1928,,,13000.0,,,,,,1860000.0,,,
1929,,,202000.0,,,,,,2918000.0,,,
1930,,,351000.0,,,,,,2559000.0,,,
1931,,,292000.0,,,,,,2232000.0,,,
1932,,,421000.0,,,,,,2886000.0,,,
1933,,,469000.0,,,,,,2600000.0,,,
1934,,,383000.0,,,7992000.0,,,3164000.0,,,
1935,,,486000.0,,,8555000.0,,,4183000.0,,,
1936,,,565000.0,,,9170000.0,,,4854000.0,,,
1937,,,634000.0,,,8803000.0,,,5241000.0,,,
1938,,,882000.0,,,8835000.0,,,5859000.0,,,
1939,,,714000.0,,,8610000.0,,,5084000.0,,,
1940,,,933000.0,,,8557000.0,,,2923000.0,,,
1941,,,944000.0,,,8560000.0,,,3947000.0,,,
1942,,,648000.0,,,7918000.0,,,4734000.0,,,
1943,,,699000.0,,,8185000.0,,,5388000.0,,,
1944,,,780000.0,,,7832000.0,,,4929000.0,,,
1945,,,1041000.0,,,7371000.0,,,5209000.0,,,
1946,,,1037000.0,,,6002000.0,,,4484000.0,,,
1947,,,921000.0,,,7942000.0,,,3917000.0,,,
1948,,,1010000.0,,,7543000.0,,,5257000.0,,,
1949,,,1126000.0,,,8046000.0,,,4984000.0,,,
1950,,,1169000.0,,,8175000.0,,,5312000.0,,,
1951,,,1260000.0,,,8477000.0,,,4463000.0,,,
1952,,,1495000.0,,,8694000.0,,,5667000.0,,,
1953,,,1453000.0,,,9004000.0,,,5759000.0,,,
1954,,,1258000.0,,,9432000.0,,,5625000.0,,,
1955,,,1160000.0,,,9868000.0,,,5661000.0,,,
1956,,,1197000.0,,,9910000.0,,,4817000.0,,,
1957,,,1358000.0,,,9448000.0,,,4976000.0,,,
1958,,,1303000.0,,,7553000.0,,,4879000.0,,,
1959,,,1771000.0,,,9416000.0,,,5073000.0,,,
1960,,,1554000.0,,,8613000.0,,,5583000.0,,,
1961,,,2036000.0,,,9595000.0,,,7118000.0,,,
1962,,,4050000.0,,,9813000.0,,,5315000.0,,,
1963,,,4446000.0,,,10034000.0,,,8554000.0,,,
1964,,,6439000.0,,,10495000.0,,,7383000.0,,,
1965,,,5505000.0,,,10738000.0,,,6542000.0,,,
1966,,,6057000.0,,,10970000.0,,,6563000.0,,,
1967,,,6542000.0,,,11046000.0,,,8111000.0,,,
1968,,,5368000.0,,,11280000.0,,,7377000.0,,,
1969,,,5199000.0,,,10839000.0,,,5676000.0,,,
1970,,,5671000.0,,,10457000.0,,,6927000.0,,,
1971,,,6022000.0,,,10685000.0,,,6438000.0,,,
1972,,,9288000.0,,,9929000.0,,,8022000.0,,,
1973,,,8089000.0,,,9645000.0,,,6570000.0,,,620000.0
1974,,,7184000.0,,,9081000.0,,,6558000.0,,,898000.0
1975,,,10117000.0,,,9485000.0,,,6468000.0,,,1236000.0
1976,,,9324000.0,,,9173000.0,,,7451000.0,,,971000.0
1977,,,8493000.0,,,8994000.0,,,7265000.0,,,978000.0
